janela,teta_ok,ripple,gamma,HG
0-10s,1,0,1,1
5-15s,1,0,1,1
10-20s,1,0,1,1
15-25s,1,0,1,1
20-30s,1,0,1,1
25-35s,1,0,1,1
30-40s,1,0,1,1
35-45s,1,0,1,1
40-50s,1,0,1,1
45-55s,1,0,1,1
50-60s,1,0,1,1
55-65s,1,0,1,1
60-70s,1,0,1,1
65-75s,1,0,1,1
70-80s,1,0,1,1
75-85s,1,0,1,1
80-90s,1,0,1,1
85-95s,1,0,1,1
90-100s,1,0,1,1
95-105s,1,0,1,1
100-110s,1,0,1,1
105-115s,1,0,1,1
110-120s,1,0,1,1
115-125s,1,0,1,1
120-130s,1,0,1,1
125-135s,1,0,1,1
130-140s,1,0,1,1
135-145s,1,0,1,1
140-150s,1,0,1,1
145-155s,1,0,1,1
150-160s,1,0,1,1
155-165s,1,0,1,1
160-170s,1,0,1,1
165-175s,1,0,1,1
170-180s,1,0,1,1
175-185s,1,0,1,1
180-190s,1,0,1,1
185-195s,1,0,1,1
190-200s,1,0,1,1
195-205s,1,0,1,1
200-210s,1,0,1,1
205-215s,1,0,1,1
210-220s,1,0,1,1
215-225s,1,0,1,1
220-230s,1,0,1,1
225-235s,1,0,1,1
230-240s,1,0,1,1
235-245s,1,0,1,1
240-250s,1,0,1,1
245-255s,1,0,1,1
250-260s,1,0,1,1
255-265s,1,0,1,1
260-270s,1,0,1,1
265-275s,1,0,1,1
270-280s,1,0,1,1
275-285s,1,0,1,1
280-290s,1,0,1,1
285-295s,1,0,1,1

# RESUMO: teta+ripple=0; teta+gamma=58; teta+HG=58; todas=0
